Sequence,CH1,CH2,voltage,Bfield,CH2norm,time
303,0.556,0.099,207.6,0.0003838139636363637,0.5774647887323957,1.5150000000000001
304,0.57,0.0991,207.6,0.0003846539636363637,0.5915492957746477,1.52
305,0.56,0.0988,207.6,0.00038405396363636366,0.5492957746478878,1.5250000000000001
306,0.572,0.0989,207.6,0.00038477396363636367,0.5633802816901418,1.53
307,0.56,0.0995,207.6,0.00038405396363636366,0.6478873239436633,1.5350000000000001
308,0.57,0.099,207.6,0.0003846539636363637,0.5774647887323957,1.54
309,0.56,0.0995,207.6,0.00038405396363636366,0.6478873239436633,1.545
310,0.56,0.0993,207.6,0.00038405396363636366,0.6197183098591555,1.55
311,0.572,0.1,207.6,0.00038477396363636367,0.7183098591549311,1.555
312,0.56,0.0998,207.6,0.00038405396363636366,0.6901408450704232,1.56
313,0.572,0.1,207.6,0.00038477396363636367,0.7183098591549311,1.565
314,0.572,0.0999,207.6,0.00038477396363636367,0.7042253521126771,1.57
315,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.575
316,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.58
317,0.572,0.101,207.6,0.00038477396363636367,0.8591549295774665,1.585
318,0.57,0.1,207.6,0.0003846539636363637,0.7183098591549311,1.59
319,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.595
320,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.6
321,0.57,0.1,207.6,0.0003846539636363637,0.7183098591549311,1.605
322,0.572,0.101,207.6,0.00038477396363636367,0.8591549295774665,1.61
323,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.615
324,0.572,0.101,207.6,0.00038477396363636367,0.8591549295774665,1.62
325,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.625
326,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.6300000000000001
327,0.572,0.1,207.6,0.00038477396363636367,0.7183098591549311,1.635
328,0.562,0.1,207.6,0.00038417396363636365,0.7183098591549311,1.6400000000000001
329,0.572,0.101,207.6,0.00038477396363636367,0.8591549295774665,1.645
330,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.6500000000000001
331,0.574,0.1,207.6,0.00038489396363636366,0.7183098591549311,1.655
332,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.6600000000000001
333,0.574,0.1,207.6,0.00038489396363636366,0.7183098591549311,1.665
334,0.56,0.0999,207.6,0.00038405396363636366,0.7042253521126771,1.67
335,0.576,0.101,207.6,0.00038501396363636365,0.8591549295774665,1.675
336,0.562,0.101,207.6,0.00038417396363636365,0.8591549295774665,1.68
337,0.576,0.1,207.6,0.00038501396363636365,0.7183098591549311,1.685
338,0.562,0.101,207.6,0.00038417396363636365,0.8591549295774665,1.69
339,0.574,0.1,207.6,0.00038489396363636366,0.7183098591549311,1.695
340,0.572,0.101,207.6,0.00038477396363636367,0.8591549295774665,1.7
341,0.562,0.1,207.6,0.00038417396363636365,0.7183098591549311,1.705
342,0.574,0.101,207.6,0.00038489396363636366,0.8591549295774665,1.71
343,0.566,0.1,207.6,0.00038441396363636364,0.7183098591549311,1.715
344,0.578,0.101,207.6,0.00038513396363636364,0.8591549295774665,1.72
345,0.564,0.1,207.6,0.00038429396363636365,0.7183098591549311,1.725
346,0.578,0.0999,207.6,0.00038513396363636364,0.7042253521126771,1.73
347,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.735
348,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.74
349,0.576,0.1,207.6,0.00038501396363636365,0.7183098591549311,1.745
350,0.574,0.0999,207.6,0.00038489396363636366,0.7042253521126771,1.75
351,0.562,0.1,207.6,0.00038417396363636365,0.7183098591549311,1.7550000000000001
352,0.578,0.101,207.6,0.00038513396363636364,0.8591549295774665,1.76
353,0.562,0.0996,207.6,0.00038417396363636365,0.6619718309859154,1.7650000000000001
354,0.574,0.0999,207.6,0.00038489396363636366,0.7042253521126771,1.77
355,0.564,0.0991,207.6,0.00038429396363636365,0.5915492957746477,1.7750000000000001
356,0.568,0.0995,207.6,0.0003845339636363637,0.6478873239436633,1.78
357,0.578,0.0987,207.6,0.00038513396363636364,0.5352112676056339,1.7850000000000001
358,0.566,0.0992,207.6,0.00038441396363636364,0.6056338028169016,1.79
359,0.574,0.0986,207.6,0.00038489396363636366,0.5211267605633799,1.795
360,0.566,0.0988,207.6,0.00038441396363636364,0.5492957746478878,1.8
361,0.578,0.0982,207.6,0.00038513396363636364,0.46478873239436613,1.805
362,0.566,0.0987,207.6,0.00038441396363636364,0.5352112676056339,1.81
363,0.578,0.0979,207.6,0.00038513396363636364,0.4225352112676063,1.815
364,0.574,0.0977,207.6,0.00038489396363636366,0.3943661971830984,1.82
365,0.566,0.0983,207.6,0.00038441396363636364,0.4788732394366201,1.825
366,0.566,0.0982,207.6,0.00038441396363636364,0.46478873239436613,1.83
367,0.578,0.0976,207.6,0.00038513396363636364,0.38028169014084645,1.835
368,0.578,0.0976,207.6,0.00038513396363636364,0.38028169014084645,1.84
